DateTime;NO2;O3;PM10;PM25;SQ;WD;Wvh;dewP;p;temp
2022-10-24 23:00:00;0.0985797827903091;0.29078421715098784;0.06730769230769232;0.1201016008033552;0.0;0.5833333333333334;0.25;0.6366906474820144;0.5852272727272727;0.46825396825396826
2022-10-25 00:00:00;0.084284786039172;0.28247961473211847;0.06730769230769232;0.13742099356134446;0.0;0.6111111111111112;0.3333333333333333;0.6402877697841727;0.5894886363636364;0.47883597883597884
2022-10-25 01:00:00;0.06971131532535042;0.2741750123132491;0.07051282051282051;0.1337586390217969;0.0;0.6111111111111112;0.4166666666666667;0.6366906474820144;0.59375;0.4708994708994709
2022-10-25 02:00:00;0.055416318574213315;0.2658704098943797;0.07371794871794872;0.15841455490578296;0.0;0.6111111111111112;0.3333333333333333;0.6402877697841727;0.5980113636363636;0.4708994708994709
2022-10-25 03:00:00;0.059407778706024324;0.25756580747551033;0.09615384615384616;0.1440486738732353;0.0;0.6111111111111112;0.3333333333333333;0.6366906474820144;0.6079545454545454;0.4656084656084656
2022-10-25 04:00:00;0.07286735356910795;0.24926120505664096;0.08333333333333333;0.14713214011459627;0.0;0.5833333333333334;0.3333333333333333;0.6258992805755396;0.6164772727272727;0.4470899470899471
2022-10-25 05:00:00;0.14313561681982734;0.2409566026377716;0.08653846153846154;0.10779136393171482;0.0;0.6388888888888888;0.3333333333333333;0.6294964028776978;0.6207386363636364;0.4656084656084656
2022-10-25 06:00:00;0.1846282372598162;0.23265200021890223;0.09294871794871795;0.06908854628152875;0.2;0.5833333333333334;0.3333333333333333;0.6151079136690647;0.6306818181818182;0.4497354497354497
2022-10-25 07:00:00;0.2029146941427643;0.22434739780003288;0.08012820512820512;0.07683856104908737;0.5;0.6111111111111112;0.3333333333333333;0.6223021582733813;0.6377840909090909;0.46825396825396826
2022-10-25 08:00:00;0.21238280887403696;0.21604279538116347;0.09615384615384616;0.11830586567428672;0.1;0.6111111111111112;0.4166666666666667;0.6223021582733813;0.6463068181818182;0.47619047619047616
2022-10-25 09:00:00;0.16300009282465425;0.20773819296229412;0.09615384615384616;0.2355130249867092;0.8;0.6111111111111112;0.4166666666666667;0.6258992805755396;0.6505681818181818;0.5
2022-10-25 10:00:00;0.16801262415297505;0.20806654627045368;0.08333333333333333;0.15794199302971235;0.6;0.6111111111111112;0.4166666666666667;0.6366906474820144;0.65625;0.5264550264550265
2022-10-25 11:00:00;0.16894087069525668;0.20965358725989167;0.09615384615384616;0.15678421643333926;0.4;0.5833333333333334;0.3333333333333333;0.6258992805755396;0.6576704545454546;0.5317460317460317
2022-10-25 12:00:00;0.17673814165042237;0.21753406665572156;0.09294871794871795;0.2102782208045366;0.6;0.5833333333333334;0.4166666666666667;0.6366906474820144;0.6576704545454546;0.5370370370370371
2022-10-25 13:00:00;0.20207927225471084;0.22317079844579435;0.08333333333333333;0.17115009746588697;0.7;0.5555555555555556;0.3333333333333333;0.6366906474820144;0.65625;0.5502645502645502
2022-10-25 14:00:00;0.1929824561403509;0.2407924259836918;0.11217948717948717;0.1890956347096698;0.5;0.5555555555555556;0.25;0.6187050359712231;0.6534090909090909;0.5396825396825397
